train_ratio,test_ratio,train_size,test_size,accuracy,precision,recall,f1,tp,tn,fp,fn
0.6,0.4,29305,19537,0.8512054051287301,0.7609208972845336,0.5514438502673796,0.6394642192732233,2578,14052,810,2097
0.7,0.30000000000000004,34188,14654,0.8467995086665757,0.7546408393866021,0.5332192757342458,0.6248955722639934,1870,10539,608,1637
0.8,0.19999999999999996,39073,9769,0.8475790766711024,0.748390871854886,0.5470487596236099,0.6320731405979738,1279,7001,430,1059
0.9,0.09999999999999998,43957,4885,0.8413510747185261,0.724373576309795,0.544054747647562,0.6213971665852467,636,3474,242,533
