criterion,train_size,test_size,accuracy,precision,recall,f1,tp,tn,fp,fn
information_gain,32561,16281,0.8512376389656655,0.7640949554896143,0.5356214248569943,0.6297768266585142,2060,11799,636,1786
gain_ratio,32561,16281,0.848965051286776,0.7693203883495146,0.515080603224129,0.6170378445724966,1981,11841,594,1865
gini,32561,16281,0.8505005835022419,0.7692601067887109,0.5244409776391056,0.6236858379715523,2017,11830,605,1829
