itemset,length,support_count,support
минеральная вода,1,1788,0.23836822
макароны,1,1410,0.18797494
яйца,1,1348,0.17970937
картофель-фри,1,1282,0.17091055
шоколад,1,1229,0.16384482
зеленый чай,1,991,0.13211572
молоко,1,972,0.12958272
говяжий фарш,1,737,0.09825357
замороженные овощи,1,715,0.09532062
блинчики,1,713,0.09505399
гамбургер,1,654,0.08718837
торт,1,608,0.08105586
печенье,1,603,0.08038928
эскалоп,1,595,0.07932276
низкокалорийный йогурт,1,574,0.07652313
рис,1,570,0.07598987
креветки,1,536,0.07145714
помидоры,1,513,0.06839088
оливковое масло,1,494,0.06585789
замороженный смузи,1,475,0.06332489
индейка,1,469,0.06252500
макароны; минеральная вода,2,459,0.06119184
курица,1,450,0.05999200
минеральная вода; шоколад,2,395,0.05265965
тертый сыр,1,393,0.05239301
растительное масло,1,383,0.05105986
минеральная вода; яйца,2,382,0.05092654
суп,1,379,0.05052660
травы и перец,1,371,0.04946007
минеральная вода; молоко,2,360,0.04799360
мед,1,356,0.04746034
шампанское,1,351,0.04679376
свежий хлеб,1,323,0.04306093
лосось,1,319,0.04252766
говяжий фарш; минеральная вода,2,307,0.04092788
макароны; шоколад,2,306,0.04079456
говяжий фарш; макароны,2,302,0.04026130
макароны; яйца,2,290,0.03866151
макароны; молоко,2,277,0.03692841
картофель-фри; яйца,2,273,0.03639515
замороженные овощи; минеральная вода,2,268,0.03572857
картофель-фри; шоколад,2,258,0.03439541
пирожные,1,253,0.03372884
блинчики; минеральная вода,2,253,0.03372884
картофель-фри; минеральная вода,2,253,0.03372884
авокадо,1,250,0.03332889
шоколад; яйца,2,249,0.03319557
хот-дог,1,243,0.03239568
молоко; шоколад,2,241,0.03212905
творог,1,239,0.03186242
зеленый чай; минеральная вода,2,233,0.03106252
молоко; яйца,2,231,0.03079589
томатный сок,1,228,0.03039595
сливочное масло,1,226,0.03012932
картофель-фри; макароны,2,226,0.03012932
цельнозерновые макароны,1,221,0.02946274
гамбургер; яйца,2,216,0.02879616
зеленый чай; картофель-фри,2,214,0.02852953
замороженные овощи; макароны,2,212,0.02826290
красное вино,1,211,0.02812958
зеленый чай; макароны,2,211,0.02812958
минеральная вода; оливковое масло,2,207,0.02759632
минеральная вода; торт,2,206,0.02746300
йогурт,1,205,0.02732969
минеральная вода; рис,2,205,0.02732969
низкокалорийный майонез,1,204,0.02719637
энергетический батончик,1,203,0.02706306
энергетический напиток,1,200,0.02666311
ветчина,1,199,0.02652980
перец,1,199,0.02652980
овощная смесь,1,193,0.02572990
хлопья,1,193,0.02572990
блинчики; макароны,2,192,0.02559659
зеленый чай; яйца,2,191,0.02546327
креветки; макароны,2,189,0.02519664
гамбургер; минеральная вода,2,183,0.02439675
минеральная вода; помидоры,2,183,0.02439675
маффины,1,181,0.02413012
минеральная вода; низкокалорийный йогурт,2,180,0.02399680
картофель-фри; молоко,2,178,0.02373017
макароны; оливковое масло,2,178,0.02373017
замороженные овощи; молоко,2,177,0.02359685
креветки; минеральная вода,2,177,0.02359685
зеленый чай; шоколад,2,176,0.02346354
гамбургер; макароны,2,174,0.02319691
масло,1,173,0.02306359
говяжий фарш; шоколад,2,173,0.02306359
минеральная вода; суп,2,173,0.02306359
замороженные овощи; шоколад,2,172,0.02293028
курица; минеральная вода,2,171,0.02279696
протеиновый батончик,1,169,0.02253033
французское вино,1,169,0.02253033
свежий тунец,1,167,0.02226370
гамбургер; картофель-фри,2,165,0.02199707
говяжий фарш; молоко,2,165,0.02199707
блинчики; яйца,2,163,0.02173044
замороженные овощи; яйца,2,163,0.02173044
макароны; помидоры,2,162,0.02159712
клубника,1,160,0.02133049
фрикадельки,1,157,0.02093054
миндаль,1,153,0.02039728
замороженный смузи; минеральная вода,2,152,0.02026396
блинчики; картофель-фри,2,151,0.02013065
минеральная вода; растительное масло,2,151,0.02013065
говяжий фарш; яйца,2,150,0.01999733
пармезан,1,149,0.01986402
блинчики; шоколад,2,149,0.01986402
макароны; рис,2,149,0.01986402
макароны; эскалоп,2,147,0.01959739
индейка; яйца,2,146,0.01946407
индейка; минеральная вода,2,144,0.01919744
грибной соус,1,143,0.01906412
замороженные овощи; картофель-фри,2,143,0.01906412
торт; яйца,2,143,0.01906412
макароны; торт,2,139,0.01853086
креветки; шоколад,2,135,0.01799760
гамбургер; молоко,2,134,0.01786428
картофель-фри; торт,2,134,0.01786428
курица; макароны,2,133,0.01773097
зеленый чай; молоко,2,132,0.01759765
креветки; молоко,2,132,0.01759765
шоколад; эскалоп,2,132,0.01759765
мята,1,131,0.01746434
гамбургер; зеленый чай,2,131,0.01746434
минеральная вода; тертый сыр,2,131,0.01746434
индейка; макароны,2,130,0.01733102
макароны; тертый сыр,2,130,0.01733102
говяжий фарш; макароны; минеральная вода,3,129,0.01719771
гамбургер; шоколад,2,128,0.01706439
лосось; минеральная вода,2,128,0.01706439
минеральная вода; травы и перец,2,128,0.01706439
минеральная вода; эскалоп,2,128,0.01706439
молоко; оливковое масло,2,128,0.01706439
рис; шоколад,2,128,0.01706439
говяжий фарш; замороженные овощи,2,127,0.01693108
низкокалорийный йогурт; яйца,2,126,0.01679776
замороженные овощи; креветки,2,125,0.01666444
белое вино,1,124,0.01653113
блинчики; молоко,2,124,0.01653113
блинчики; зеленый чай,2,123,0.01639781
картофель-фри; эскалоп,2,123,0.01639781
макароны; растительное масло,2,123,0.01639781
макароны; травы и перец,2,123,0.01639781
оливковое масло; шоколад,2,123,0.01639781
макароны; минеральная вода; шоколад,3,123,0.01639781
замороженные овощи; помидоры,2,121,0.01613118
замороженный смузи; макароны,2,121,0.01613118
макароны; низкокалорийный йогурт,2,121,0.01613118
макароны; минеральная вода; молоко,3,121,0.01613118
говяжий фарш; травы и перец,2,120,0.01599787
низкокалорийный крем,1,117,0.01559792
морковь,1,115,0.01533129
молоко; суп,2,114,0.01519797
макароны; минеральная вода; яйца,3,114,0.01519797
мед; минеральная вода,2,113,0.01506466
замороженный смузи; шоколад,2,112,0.01493134
картофель-фри; рис,2,112,0.01493134
макароны; суп,2,112,0.01493134
говяжий фарш; зеленый чай,2,111,0.01479803
курица; молоко,2,111,0.01479803
низкокалорийный йогурт; шоколад,2,111,0.01479803
курица; шоколад,2,110,0.01466471
блинчики; говяжий фарш,2,109,0.01453140
замороженный смузи; картофель-фри,2,109,0.01453140
замороженные овощи; зеленый чай,2,108,0.01439808
курица; яйца,2,108,0.01439808
черный чай,1,107,0.01426476
замороженный смузи; молоко,2,107,0.01426476
молоко; рис,2,107,0.01426476
томатный соус,1,106,0.01413145
говяжий фарш; оливковое масло,2,106,0.01413145
зеленый чай; торт,2,106,0.01413145
креветки; яйца,2,106,0.01413145
молоко; помидоры,2,105,0.01399813
помидоры; шоколад,2,105,0.01399813
рис; яйца,2,105,0.01399813
минеральная вода; молоко; шоколад,3,105,0.01399813
говяжий фарш; картофель-фри,2,104,0.01386482
лосось; макароны,2,103,0.01373150
белый сыр,1,102,0.01359819
растительное масло; шоколад,2,102,0.01359819
торт; шоколад,2,102,0.01359819
жевательная резинка,1,101,0.01346487
блинчики; замороженные овощи,2,101,0.01346487
минеральная вода; шоколад; яйца,3,101,0.01346487
картофель-фри; низкокалорийный йогурт,2,100,0.01333156
картофель-фри; печенье,2,100,0.01333156
минеральная вода; свежий хлеб,2,100,0.01333156
молоко; торт,2,100,0.01333156
баклажаны,1,99,0.01319824
молоко; низкокалорийный йогурт,2,99,0.01319824
минеральная вода; молоко; яйца,3,98,0.01306492
макароны; мед,2,96,0.01279829
травы и перец; яйца,2,94,0.01253166
газированная вода,1,93,0.01239835
зеленый чай; рис,2,93,0.01239835
говяжий фарш; рис,2,92,0.01226503
зеленый чай; помидоры,2,92,0.01226503
помидоры; яйца,2,92,0.01226503
замороженные овощи; макароны; минеральная вода,3,92,0.01226503
дыня,1,90,0.01199840
темный шоколад,1,90,0.01199840
гамбургер; говяжий фарш,2,90,0.01199840
зеленый чай; печенье,2,90,0.01199840
картофель-фри; помидоры,2,90,0.01199840
оливковое масло; яйца,2,90,0.01199840
блинчики; торт,2,89,0.01186508
зеленый чай; индейка,2,89,0.01186508
зеленый чай; курица,2,89,0.01186508
говяжий фарш; помидоры,2,88,0.01173177
растительное масло; яйца,2,88,0.01173177
блинчики; макароны; минеральная вода,3,88,0.01173177
авокадо; минеральная вода,2,87,0.01159845
шампанское; шоколад,2,87,0.01159845
