support_threshold,confidence_threshold,median_seconds,min_seconds,max_seconds,rules
0.01,0.25,0.00022833299590274692,0.0002258330350741744,0.0002947500324808061,99
0.01,0.3,0.00021433350048027933,0.0002122909645549953,0.00024733401369303465,65
0.01,0.35,0.0001999580126721412,0.0001980409724637866,0.00020462501561269164,34
0.01,0.4,0.00019620798411779106,0.00019399996381253004,0.00022591697052121162,19
0.01,0.45,0.0001897295005619526,0.00018687499687075615,0.0002553340164013207,6
0.01,0.5,0.00018718800856731832,0.00018495804397389293,0.00029141700360924006,2
