threshold,median_seconds,min_seconds,max_seconds,itemsets,max_length
0.01,1.2628150839882437,1.2148464579950087,1.680912084004376,261,3
0.03,0.20193487500364427,0.2011180839908775,0.21032349999586586,55,2
0.05,0.11999929101148155,0.09617116599110886,0.13049491700076032,28,2
0.1,0.013017834004131146,0.01276099999086,0.01328062500397209,7,1
0.15,0.008738290998735465,0.00867004100291524,0.009053125002537854,5,1
